EMDN V2					
CATEGORY 	CATEGORY DESCRIPTION	CODE	TERM	LEVEL 	TERMINAL LEVEL YES/NO 
U	DEVICES FOR UROGENITAL SYSTEM	U010203	URETHRAL PROSTATIC AND BLADDER CATHETERS, DELINOTTE, WITH BALLOON	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U010204	URETHRAL PROSTATIC AND BLADDER CATHETERS, DUFOUR, WITH BALLOON 	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U010205	URETHRAL PROSTATIC AND BLADDER CATHETERS, MERCIER, WITH BALLOON	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U010206	URETHRAL PROSTATIC AND BLADDER CATHETERS, TIEMANN WITH BALLOON	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U010299	URETHRAL PROSTATIC AND BLADDER CATHETERS, WITH BALLOON - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0103	URETHRAL PROSTATIC AND BLADDER CATHETERS WITH TEMPERATURE SENSORS	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0180	URETHRAL PROSTATIC AND BLADDER CATHETERS - ACCESSORIES	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0199	URETHRAL PROSTATIC AND BLADDER CATHETERS - OTHER	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U02	URETERAL CATHETERS AND STENTS	2	NO
U	DEVICES FOR UROGENITAL SYSTEM	U0201	URETERAL CATHETERS WITHOUT BALLOON	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U020101	URETERAL CATHETERS WITH CYLINDRICAL TIP	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U020102	URETERALCATHETERS WITH OPEN FLUTE BEAK TIP	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U020103	URETERAL CATHETERS WITH CHEVASSU TIP	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U020104	URETERAL CATHETERS WITH OLIVARE TIP	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U020199	URETERAL CATHETERS WITHOUT BALLOON - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0202	URETERAL CATHETERS WITH BALLOON 	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U020201	URETERAL CATHETERS FOR OCCLUSION	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U020202	URETERAL CATHETERS WITH FLUTE TIP WITH BALLOON 	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U020299	URETERAL CATHETERS WITH BALLOON - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0203	URETERAL STENTS	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U020301	SINGLE LOOP URETERAL STENTS	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U020302	DOUBLE LOOP URETERAL STENTS	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U020399	URETERAL STENTS - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0204	TRANSILLUMINATING URETERAL CATHETERS	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0280	URETERAL CATHETERS AND STENTS - ACCESSORIES	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0299	URETERAL CATHETERS - OTHER	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U03	DEVICES FOR URETHRAL, URETERAL AND NEPHROSTOMIC DILATION	2	NO
U	DEVICES FOR UROGENITAL SYSTEM	U0301	DEVICES FOR RIGID DILATION OF THE URINARY TRACT 	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U030101	SEQUENTIAL DILATORS FOR PERCUTANEOUS NEPHROSTOMY	4	NO
U	DEVICES FOR UROGENITAL SYSTEM	U03010101	AMPLATZ CANNULAS FOR URINARY DILATION	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U03010199	PERCUTANEOUS NEPHROSTOMY, SEQUENTIAL DILATORS - OTHER	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U030102	URETHRAL AND URETERAL DILATORS	4	NO
U	DEVICES FOR UROGENITAL SYSTEM	U03010201	URETHRAL DILATORS	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U03010202	URETERAL DILATORS	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0302	DEVICES FOR PNEUMATIC DILATION OF THE URINARY TRACT	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U030201	URETHRAL DILATORS, WITH BALLOON	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U030202	URETERAL DILATORS, WITH BALLOON	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0380	DEVICES FOR URINARY TRACT DILATION - ACCESSORIES	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0399	DEVICES FOR URINARY TRACT DILATION - OTHER	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U04	DEVICES FOR PERCUTANEOUS URINARY DRAINAGE AND NEPHROSTOMY CATHETERS	2	NO
U	DEVICES FOR UROGENITAL SYSTEM	U0401	DEVICES FOR SUPRAPUBIC URINARY DRAINAGE	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U040101	KITS WITH DRAINAGE CATHETERS, DIRECT PUNCTURE 	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U040102	KITS WITH DRAINAGE CATHETERS AND INTRODUCERS 	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U040199	DEVICES FOR SUPRAPUBIC URINARY DRAINAGE - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0402	DEVICES FOR PERCUTANEOUS NEPHROSTOMY	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U040201	NEPHROSTOMY KITS, DIRECT PUNCTURE 	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U040202	NEPHROSTOMY KITS, SELDINGER METHOD	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U040203	NEPHROSTOMY CATHETERS	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U040299	DEVICES FOR PERCUTANEOUS NEPHROSTOMY - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0403	DEVICES FOR URETERAL DIVERSION AND URETEROCUTANEOSTOMY	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U040301	URETERAL DIVERSION PROBES, BRACCI	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U040302	URETEROCUTANEOSTOMY PROBES	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U040399	DEVICES FOR URETERAL DIVERSION AND URETEROCUTANEOSTOMY - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0480	DEVICES FOR PERCUTANEOUS URINARY DRAINAGE - ACCESSORIES	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0499	DEVICES FOR PERCUTANEOUS URINARY DRAINAGE - OTHER	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U05	URODYNAMICS DEVICES	2	NO
U	DEVICES FOR UROGENITAL SYSTEM	U0501	CYSTOMANOMETRY AND URETHROMANOMETRY CATHETERS	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U050101	CYSTOMANOMETRY CATHETERS, WITHOUT BALLOON	4	NO
U	DEVICES FOR UROGENITAL SYSTEM	U05010101	CYSTOMANOMETRY CATHETERS, WITHOUT BALLOON, 2-WAY	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U05010102	CYSTOMANOMETRY CATHETERS, WITHOUT BALLOON, 3-WAY	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U050199	CYSTOMANOMETRY AND URETHROMANOMETRY CATHETERS - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0502	URINARY PRESSURE-FLOW STUDY CATHETERS	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U050201	FILLING CATHETERS FOR URINARY PRESSURE-FLOW STUDY	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U050202	BLADDER PRESSURE-FLOW STUDY CATHETERS	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U050299	URINARY PRESSURE-FLOW STUDY CATHETERS - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0503	URETHRAL PRESSURE PROFILE CATHETERS	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U050301	URETHRAL PRESSURE PROFILE CATHETERS WITHOUT BALLOON	4	NO
U	DEVICES FOR UROGENITAL SYSTEM	U05030101	URETHRAL PRESSURE PROFILE CATHETERS WITHOUT BALLOON, 1-WAY	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U05030102	URETHRAL PRESSURE PROFILE CATHETERS WITHOUT BALLOON, 2-WAY	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U050399	URETHRAL PRESSURE PROFILE CATHETERS - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0504	INTRA-ABDOMINAL PRESSURE MEASUREMENT CATHETERS	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U050401	INTRA-ABDOMINAL PRESSURE MEASUREMENT CATHETERS, WITHOUT BALLOON	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U050402	INTRA-ABDOMINAL PRESSURE MEASUREMENT CATHETERS, WITH BALLOON	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0505	CAVERNOSOMETRY AND CAVERNOSOGRAPHY PROBES	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0580	URODYNAMICS DEVICES - ACCESSORIES	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0599	URODYNAMICS DEVICES - OTHER	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U06	UROLOGICAL GUIDEWIRES	2	NO
U	DEVICES FOR UROGENITAL SYSTEM	U0601	UROLOGICAL GUIDEWIRES, HYDROPHILIC	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0602	UROLOGICAL GUIDEWIRES, NOT HYDROPHILIC	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0699	UROLOGICAL GUIDEWIRES - OTHER	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U07	DEVICES FOR THE TREATMENT OF INCONTINENCE	2	NO
U	DEVICES FOR UROGENITAL SYSTEM	U0701	INTERNAL SYSTEMS FOR THE TREATMENT OF INCONTINENCE	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U070101	SLING SYSTEMS FOR THE TREATMENT OF INCONTINENCE 	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U070199	INTERNAL SYSTEMS FOR THE TREATMENT OF INCONTINENCE - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0702	EXTERNAL DEVICES FOR THE TREATMENT OF INCONTINENCE	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U070201	SHEATH CATHETER FOR THE TREATMENT OF INCONTINENCE 	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U070299	EXTERNAL DEVICES FOR THE TREATMENT OF INCONTINENCE - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0703	PELVIC FLOOR REHABILITATION DEVICES	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U070301	PELVIC FLOOR REHABILITATION DEVICES, BIOFEEDBACK, SINGLE-USE	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U070302	PELVIC FLOOR REHABILITATION DEVICES, FUNCTIONAL ELECTROSTIMULATION, SINGLE-USE	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U070399	PELVIC FLOOR REHABILITATION DEVICES - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0780	DEVICES FOR THE TREATMENT OF INCONTINENCE - ACCESSORIES	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0799	DEVICES FOR THE TREATMENT OF INCONTINENCE - OTHER	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U08	GYNAECOLOGICAL DEVICES	2	NO
U	DEVICES FOR UROGENITAL SYSTEM	U0801	GYNAECOLOGICAL CATHETERS	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U080101	CATHETERS FOR ENDOMETRIAL ABLATION	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U080102	CATHETERS FOR HYSTEROSALPINGOGRAPHY	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U080103	CATHETERS FOR HYSTEROSCOPY	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U080199	GYNAECOLOGICAL CATHETERS - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0802	DEVICES FOR ASSISTED REPRODUCTION	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U080201	CATHETERS FOR ASSISTED REPRODUCTION	4	NO
U	DEVICES FOR UROGENITAL SYSTEM	U08020101	CATHETERS FOR INSEMINATION	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U08020102	CATHETERS FOR EMBRYO TRANSFER	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U08020180	ASSISTED REPRODUCTION CATHETERS - ACCESSORIES	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U08020199	ASSISTED REPRODUCTION CATHETERS - OTHER	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U080202	NEEDLES AND SETS FOR OOCYTE RETRIEVAL FOR ASSISTED REPRODUCTION	4	NO
U	DEVICES FOR UROGENITAL SYSTEM	U08020201	SINGLE LUMEN NEEDLES AND SETS/SYSTEMS FOR OOCYTE RETRIEVAL	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U08020202	DOUBLE LUMEN NEEDLES AND SETS/SYSTEMS FOR OOCYTE RETRIEVAL	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U080203	DEVICES FOR MICROMANIPULATION OF BIOLOGICAL MATERIAL FOR ASSISTED REPRODUCTION	4	NO
U	DEVICES FOR UROGENITAL SYSTEM	U08020301	PIPETTES FOR ASSISTED REPRODUCTION	5	NO
U	DEVICES FOR UROGENITAL SYSTEM	U0802030101	BIOPSY PIPETTES FOR ASSISTED REPRODUCTION	6	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0802030102	DENUDING PIPETTES	6	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0802030103	HANDLING PIPETTES	6	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0802030104	HATCHING/DRILLING PIPETTES	6	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0802030105	HOLDING PIPETTES	6	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0802030106	ICSI PIPETTES	6	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0802030107	PASTEUR PIPETTES FOR ASSISTED REPRODUCTION	6	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0802030108	PZD PIPETTES	6	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0802030199	PIPETTES FOR ASSISTED REPRODUCTION - OTHER	6	YES
U	DEVICES FOR UROGENITAL SYSTEM	U08020302	SYSTEMS FOR MICROMANIPULATION OF BIOLOGICAL MATERIAL FOR ASSISTED REPRODUCTION	5	NO
U	DEVICES FOR UROGENITAL SYSTEM	U0802030201	TIPS FOR ASSISTED REPRODUCTION	6	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0802030202	HANDPIECES FOR TIPS FOR ASSISTED REPRODUCTION	6	YES
U	DEVICES FOR UROGENITAL SYSTEM	U08020380	DEVICES FOR MICROMANIPULATION OF BIOLOGICAL MATERIAL FOR ASSISTED REPRODUCTION - ACCESSORIES	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U08020399	DEVICES FOR MICROMANIPULATION OF BIOLOGICAL MATERIAL FOR ASSISTED REPRODUCTION - OTHER	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U080204	CRYOPRESERVATION CONTAINERS/SETS FOR ASSISTED REPRODUCTION	4	NO
U	DEVICES FOR UROGENITAL SYSTEM	U08020401	CRYOPRESERVATION CONTAINERS/STRAWS/VIALS FOR ASSISTED REPRODUCTION	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U080205	SUBSTRATES FOR STORING/HANDLING BIOLOGICAL MATERIAL FOR ASSISTED REPRODUCTION	4	NO
U	DEVICES FOR UROGENITAL SYSTEM	U08020501	MATERIALS/SOLUTIONS FOR FREEZING/THAWING FOR ASSISTED REPRODUCTION	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U08020502	MATERIALS/SOLUTIONS FOR PREPARATION/HANDLING FOR ASSISTED REPRODUCTION	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U08020503	MATERIALS/CULTURE MEDIA FOR ASSISTED REPRODUCTION	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U08020599	SUBSTRATES FOR STORING/HANDLING BIOLOGICAL MATERIAL FOR ASSISTED REPRODUCTION - OTHER	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U080206	CULTURE PLATES FOR ASSISTED REPRODUCTION	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U080207	CONTAINERS FOR PREPARATION OF BIOLOGICAL MATERIAL FOR ASSISTED REPRODUCTION	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U080299	DEVICES FOR ASSISTED REPRODUCTION - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0803	VAGINAL DEVICES IN THE FORM OF SOLUTIONS/CREAMS/OVA/TABLETS	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0890	DEVICES FOR GYNECOLOGY - VARIOUS	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U089002	DEVICES FOR GYNAECOLOGICAL CYTOLOGY	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U089003	HYSTEROMETERS, SINGLE-USE	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U089005	PESSARIANS	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U089006	VAGINAL SPECULUM, SINGLE-USE 	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U089009	VAGINAL APPLICATORS, SINGLE-USE 	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U089010	UTERINE CURETTES, SINGLE-USE 	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0899	GYNAECOLOGICAL DEVICES - OTHER	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U09	UROGENITAL ENDOSCOPIC DEVICES	2	NO
U	DEVICES FOR UROGENITAL SYSTEM	U0901	URINARY STONE RETRIEVAL DEVICES	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U090101	URINARY STONE RETRIEVAL BASKETS	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U090102	URINARY STONE RETRIEVAL BALLOON CATHETERS	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U090199	URINARY STONE RETRIEVAL DEVICES - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0902	UROGENITAL ENDOSCOPIC RESECTION INSTRUMENTS	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U090201	UROGENITAL THERMOABLATION, NEEDLES AND KITS	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U090202	PROSTATECTOMY LOOPS	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U090203	GYNAECOLOGY LOOPS	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U090204	BLADDER EVACUATORS	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U090299	UROGENITAL ENDOSCOPIC RESECTION INSTRUMENTS - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0903	SINGLE-USE INSTRUMENTS FOR UROGENITAL ENDOSCOPY	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U090301	FORCEPS FOR UROGENITAL ENDOSCOPY, SINGLE-USE 	4	NO
U	DEVICES FOR UROGENITAL SYSTEM	U09030101	BIOPSY FORCEPS FOR UROGENITAL ENDOSCOPY, SINGLE-USE 	5	NO
U	DEVICES FOR UROGENITAL SYSTEM	U0903010101	COLD BIOPSY FORCEPS FOR UROGENITAL ENDOSCOPY, SINGLE-USE 	6	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0903010102	HOT BIOPSY FORCEPS FOR UROGENITAL ENDOSCOPY, SINGLE-USE 	6	YES
U	DEVICES FOR UROGENITAL SYSTEM	U09030102	EXTRACTION FORCEPS FOR UROGENITAL ENDOSCOPY, SINGLE-USE 	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U09030199	FORCEPS FOR UROGENITAL ENDOSCOPY, SINGLE-USE - OTHER	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U090303	UROGENITAL ENDOSCOPY BRUSHES	4	NO
U	DEVICES FOR UROGENITAL SYSTEM	U09030301	UROGENITAL CYTOLOGY BRUSHES	5	YES
U	DEVICES FOR UROGENITAL SYSTEM	U090399	SINGLE-USE INSTRUMENTS FOR UROGENITAL ENDOSCOPY - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U0999	UROGENITAL ENDOSCOPIC DEVICES - OTHER	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U10	OBSTETRICS DEVICES	2	NO
U	DEVICES FOR UROGENITAL SYSTEM	U1001	OBSTETRICS CATHETERS	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U100101	CATHETERS FOR VOLUNTARY TERMINATION OF PREGNANCY	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U100102	POSTPARTUM INTRAUTERINE CATHETERS	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U100199	OBSTETRICAL CATHETERS - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U1002	FETAL STUDY DEVICES	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U100201	FOETAL SCALP ELECTRODES	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U100299	FOETAL STUDY DEVICES - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U1003	PUERPERIUM DEVICES	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U1004	MANUAL OBSTETRICAL EXTRACTORS, SINGLE-USE	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U1005	AMNIOTIC MEMBRANE PERFORATORS 	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U1006	SINGLE-USE RIGID AMNIOSCOPES 	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U1007	UTERINE CERCLAGE DEVICES 	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U1080	OBSTETRICS DEVICES - ACCESSORIES	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U1099	OBSTETRICS DEVICES - OTHER	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U11	CONTRACEPTIVE DEVICES	2	NO
U	DEVICES FOR UROGENITAL SYSTEM	U1101	MALE CONTRACEPTIVE DEVICES	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U110101	CONDOMS	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U110102	DEVICES FOR LIGATION OF THE VASA DEFERENTIA	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U110199	DEVICES FOR MALE CONTRACEPTION - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U1102	DEVICES FOR FEMALE CONTRACEPTION	3	NO
U	DEVICES FOR UROGENITAL SYSTEM	U110201	INTRAUTERINE COILS	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U110202	VAGINAL DIAPHRAGMS	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U110203	FEMALE CONDOMS	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U110299	DEVICES FOR FEMALE CONTRACEPTION - OTHER	4	YES
U	DEVICES FOR UROGENITAL SYSTEM	U12	SINGLE-USE INSTRUMENTATION FOR UROGENITAL SYSTEM (NON-ENDOSCOPIC) 	2	NO
U	DEVICES FOR UROGENITAL SYSTEM	U1201	NON-ENDOSCOPIC SINGLE-USE FORCEPS FOR UROGENITAL SYSTEM 	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U1202	SINGLE-USE NON-ENDOSCOPIC UROGENITAL SCISSORS	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U1299	SINGLE-USE UROGENITAL INSTRUMENTATION (NON-ENDOSCOPIC) - OTHER 	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U13	SOLUTIONS AND KITS FOR BLADDER WASHING AND INSTILLATION	2	NO
U	DEVICES FOR UROGENITAL SYSTEM	U1301	SOLUTIONS FOR BLADDER WASHING AND INSTILLATION	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U1302	KITS FOR BLADDER WASHING AND INSTILLATION	3	YES
U	DEVICES FOR UROGENITAL SYSTEM	U99	DEVICES FOR UROGENITAL SYSTEM - OTHER	2	YES
V	VARIOUS MEDICAL DEVICES	V	VARIOUS MEDICAL DEVICES	1	NO
V	VARIOUS MEDICAL DEVICES	V01	CUTTING DEVICES, SINGLE-USE	2	NO
V	VARIOUS MEDICAL DEVICES	V0101	SCALPELS, SINGLE-USE	3	NO
V	VARIOUS MEDICAL DEVICES	V010101	SCALPELS WITH SAFETY SYSTEMS, SINGLE-USE	4	YES
V	VARIOUS MEDICAL DEVICES	V010102	SCALPELS WITHOUT SAFETY SYSTEMS, SINGLE-USE	4	YES
V	VARIOUS MEDICAL DEVICES	V0102	STAPLE REMOVER KNIVES, SINGLE-USE	3	YES
V	VARIOUS MEDICAL DEVICES	V0103	BLADES, SINGLE-USE - NOT INCLUDED IN OTHER CLASSES	3	NO
V	VARIOUS MEDICAL DEVICES	V010301	BLADES WITH SAFETY SYSTEMS, SINGLE-USE - NOT INCLUDED IN OTHER CLASSES	4	YES
V	VARIOUS MEDICAL DEVICES	V010302	BLADES WITHOUT SAFETY SYSTEMS, SINGLE-USE - NOT INCLUDED IN OTHER CLASSES	4	YES
V	VARIOUS MEDICAL DEVICES	V0104	LANCETS, SINGLE-USE	3	NO
V	VARIOUS MEDICAL DEVICES	V010401	LANCETS WITH SAFETY SYSTEMS, SINGLE-USE	4	YES
V	VARIOUS MEDICAL DEVICES	V010402	LANCETS WITHOUT SAFETY SYSTEMS, SINGLE-USE	4	YES
V	VARIOUS MEDICAL DEVICES	V0199	CUTTING DEVICES, SINGLE-USE - OTHER	3	YES
V	VARIOUS MEDICAL DEVICES	V02	NEONATOLOGY AND PAEDIATRIC DEVICES	2	NO
V	VARIOUS MEDICAL DEVICES	V0201	PHOTOTHERAPY MASKS	3	YES
V	VARIOUS MEDICAL DEVICES	V0202	UMBILICAL CLAMPS AND CLIPPERS, SINGLE-USE	3	YES
V	VARIOUS MEDICAL DEVICES	V0203	NEWBORN NUTRITION DEVICES	3	NO
V	VARIOUS MEDICAL DEVICES	V020301	MANUAL BREAST PUMPERS AND KITS	4	YES
V	VARIOUS MEDICAL DEVICES	V020302	BABY BOTTLES AND KIT	4	YES
V	VARIOUS MEDICAL DEVICES	V020303	TEATS	4	YES
V	VARIOUS MEDICAL DEVICES	V020380	NEWBORN NUTRITION DEVICES - ACCESSORIES	4	YES
V	VARIOUS MEDICAL DEVICES	V020399	NEWBORN NUTRITION DEVICES - OTHER	4	YES
V	VARIOUS MEDICAL DEVICES	V0280	NEONATOLOGY AND PEDIATRICS DEVICES - ACCESSORIES NOT INCLUDED IN OTHER CLASSES	3	NO
V	VARIOUS MEDICAL DEVICES	V028002	NEONATOLOGY CARE KITS	4	YES
V	VARIOUS MEDICAL DEVICES	V028099	NEONATOLOGY AND PEDIATRICS DEVICES - ACCESSORIES NOT INCLUDED IN OTHER CLASSES - OTHER	4	YES
V	VARIOUS MEDICAL DEVICES	V0299	NEONATOLOGY AND PAEDIATRIC DEVICES - OTHER	3	YES
V	VARIOUS MEDICAL DEVICES	V03	MEASUREMENT DEVICES	2	NO
